AGE,ALLOWANCE,BASICSALARY,EMPLOYEEID,FIRSTNAME,LASTNAME,PAGIBIG,PHILHEALTH,POSITION,SSS,TIN
0,4500.0,4285.68,10001,Manuel III,Garcia,691295330870,820126853951,,44-4506057-3,442-605-657-000
0,4500.0,2857.12,10002,Antonio,Lim,663904995411,331735646338,,52-2061274-9,683-102-776-000
0,4500.0,2857.12,10003,Bianca Sofia,Aquino,171519773969,177451189665,,30-8870406-2,971-711-280-000
0,4500.0,2857.12,10004,Isabella,Reyes,416946776041,341911411254,,40-2511815-0,876-809-437-000
0,3500.0,2508.08,10005,Eduard,Hernandez,952347222457,957436191812,,50-5577638-1,031-702-374-000
0,3100.0,2046.4,10007,Brad,San Jose,210850209964,239192926939,,40-2400714-1,672-474-690-000
0,2500.0,1071.44,10008,Alice,Romualdez,211385556888,545652640232,,55-4476527-2,888-572-294-000
0,2500.0,1071.44,10009,Rosie,Atienza,260107732354,708988234853,,41-0644692-3,604-997-793-000
0,3500.0,2508.08,10010,Roderick,Alvaro,416946776041,341911411254,,40-2511815-0,876-809-437-000
0,3500.0,2420.24,10011,Anthony,Salcedo,218002473454,126445315651,,26-9647608-3,210-805-911-000
0,3100.0,1832.16,10012,Josie,Lopez,113071293354,431709011012,,44-8563448-3,218-489-737-000
0,2500.0,1142.88,10013,Martha,Farala,631130283546,233693897247,,45-5656375-0,210-835-851-000
0,2500.0,1142.88,10014,Leila,Martinez,101205445886,515741057496,,27-2090996-4,275-792-513-000
0,3500.0,2547.6,10015,Fredrick,Romualdez,223057707853,308366860059,,26-8768374-1,598-065-761-000
0,3100.0,2046.4,10016,Christian,Mata,631052853464,824187961962,,49-2959312-6,103-100-522-000
0,3100.0,1992.88,10017,Selena,De Leon,719007608464,587272469938,,27-2090208-8,482-259-498-000
0,2500.0,1071.44,10018,Allison,San Jose,114901859343,745148459521,,45-3251383-0,121-203-336-000
0,2500.0,1071.44,10019,Cydney,Rosario,265104358643,579253435499,,49-1629900-2,122-244-511-000
0,2500.0,1107.12,10020,Mark,Bautista,260054585575,399665157135,,49-1647342-5,273-970-941-000
0,2500.0,1107.12,10021,Darlene,Lazaro,104907708845,606386917510,,45-5617168-2,354-650-951-000
0,2500.0,1142.88,10022,Kolby,Delos Santos,113017988667,357451271274,,52-0109570-6,187-500-345-000
0,2500.0,1071.44,10023,Vella,Santos,360028104576,548670482885,,52-9883524-3,101-558-994-000
0,2500.0,1071.44,10024,Tomas,Del Rosario,913108649964,953901539995,,45-5866331-6,560-735-732-000
0,2500.0,1142.88,10025,Jacklyn,Tolentino,210546661243,753800654114,,47-1692793-0,841-177-857-000
0,2500.0,1178.56,10026,Percival,Gutierrez,210897095686,797639382265,,40-9504657-8,502-995-671-000
0,2500.0,1178.56,10027,Garfield,Manalaysay,799254095212,578114853194,,64-7605054-4,525-420-419-000
0,2500.0,1142.88,10028,Lizeth,Villegas,122238077997,934389652994,,40-2400719-4,210-395-397-000
0,2500.0,1071.44,10029,Carol,Ramos,212141893454,351830469744,,60-1152206-4,395-032-717-000
0,2500.0,1071.44,10030,Emelia,Maceda,515012579765,465087894112,,54-1331005-0,215-973-013-000
0,2500.0,1071.44,10031,Delia,Aguilar,110018813465,136451303068,,52-1859253-1,599-312-588-000
0,3500.0,2508.08,10032,John Rafael,Castro,697764069311,601644902402,,26-7145133-4,404-768-309-000
0,3500.0,2508.08,10033,Carlos Ian,Martinez,993372963726,380685387212,,11-5062972-7,256-436-296-000
